sample_idx,rtl_base,golden,error,abs_error
0,0,0,0,0
1,825,825,0,0
2,3380999,3380999,0,0
3,10751048,10751048,0,0
4,23630089,23630089,0,0
5,41493149,41493149,0,0
6,61009392,61009392,0,0
7,75620501,75620501,0,0
8,76225034,76225034,0,0
9,53189786,53189786,0,0
10,-713338,-713338,0,0
11,-87202791,-87202791,0,0
12,-200349774,-200349774,0,0
13,-326496934,-326496934,0,0
14,-446708314,-446708314,0,0
15,-541439034,-541439034,0,0
16,-596191657,-596191657,0,0
17,-606311944,-606311944,0,0
18,-579076896,-579076896,0,0
19,-532022696,-532022696,0,0
20,-487627598,-487627598,0,0
21,-465935137,-465935137,0,0
22,-477612149,-477612149,0,0
23,-520038248,-520038248,0,0
24,-578134374,-578134374,0,0
25,-629925872,-629925872,0,0
26,-655017064,-655017064,0,0
27,-642852028,-642852028,0,0
28,-597480963,-597480963,0,0
29,-536678174,-536678174,0,0
30,-485428609,-485428609,0,0
31,-466044326,-466044326,0,0
32,-488752961,-488752961,0,0
33,-546694067,-546694067,0,0
34,-617677900,-617677900,0,0
35,-672505255,-672505255,0,0
36,-686808712,-686808712,0,0
37,-651704922,-651704922,0,0
38,-578670926,-578670926,0,0
39,-496159038,-496159038,0,0
40,-438753893,-438753893,0,0
41,-432890278,-432890278,0,0
42,-484960210,-484960210,0,0
43,-577047354,-577047354,0,0
44,-672696243,-672696243,0,0
45,-731085162,-731085162,0,0
46,-724162817,-724162817,0,0
47,-649708025,-649708025,0,0
48,-534337324,-534337324,0,0
49,-424430073,-424430073,0,0
50,-367798337,-367798337,0,0
51,-393249425,-393249425,0,0
52,-496613512,-496613512,0,0
53,-639772335,-639772335,0,0
54,-764202992,-764202992,0,0
55,-814444100,-814444100,0,0
56,-762272135,-762272135,0,0
57,-621258636,-621258636,0,0
58,-444631970,-444631970,0,0
59,-305859741,-305859741,0,0
60,-268785187,-268785187,0,0
61,-359130575,-359130575,0,0
62,-549777292,-549777292,0,0
63,-767389995,-767389995,0,0
64,-919575754,-919575754,0,0
65,-932947129,-932947129,0,0
66,-786876709,-786876709,0,0
67,-528027132,-528027132,0,0
68,-257504063,-257504063,0,0
69,-93182481,-93182481,0,0
70,-120564861,-120564861,0,0
71,-351794865,-351794865,0,0
72,-711129374,-711129374,0,0
73,-1056192074,-1056192074,0,0
74,-1230491499,-1230491499,0,0
75,-1129150615,-1129150615,0,0
76,-752244282,-752244282,0,0
77,-221916915,-221916915,0,0
78,248876411,248876411,0,0
79,430676341,430676341,0,0
80,172051732,172051732,0,0
81,-518933765,-518933765,0,0
82,-1438520613,-1438520613,0,0
83,-2147483648,-2147483648,0,0
84,-2147483648,-2147483648,0,0
85,-1601833430,-1601833430,0,0
86,401400941,401400941,0,0
87,2147483647,2147483647,0,0
88,2147483647,2147483647,0,0
89,2147483647,2147483647,0,0
90,2147483647,2147483647,0,0
91,2147483647,2147483647,0,0
92,2147483647,2147483647,0,0
93,2147483647,2147483647,0,0
94,2147483647,2147483647,0,0
95,2147483647,2147483647,0,0
96,2147483647,2147483647,0,0
97,2147483647,2147483647,0,0
98,2147483647,2147483647,0,0
99,2147483647,2147483647,0,0
100,2147483647,2147483647,0,0
101,2147483647,2147483647,0,0
102,2147483647,2147483647,0,0
103,2147483647,2147483647,0,0
104,2147483647,2147483647,0,0
105,2147483647,2147483647,0,0
106,2147483647,2147483647,0,0
107,2147483647,2147483647,0,0
108,2147483647,2147483647,0,0
109,2147483647,2147483647,0,0
110,2147483647,2147483647,0,0
111,2147483647,2147483647,0,0
112,2147483647,2147483647,0,0
113,2147483647,2147483647,0,0
114,2147483647,2147483647,0,0
115,2147483647,2147483647,0,0
116,2147483647,2147483647,0,0
117,2147483647,2147483647,0,0
118,2147483647,2147483647,0,0
119,2147483647,2147483647,0,0
120,2147483647,2147483647,0,0
121,2147483647,2147483647,0,0
122,2147483647,2147483647,0,0
123,2147483647,2147483647,0,0
124,2147483647,2147483647,0,0
125,2147483647,2147483647,0,0
126,2147483647,2147483647,0,0
127,2147483647,2147483647,0,0
128,2147483647,2147483647,0,0
129,2147483647,2147483647,0,0
130,2147483647,2147483647,0,0
131,2147483647,2147483647,0,0
132,2147483647,2147483647,0,0
133,2147483647,2147483647,0,0
134,2147483647,2147483647,0,0
135,2147483647,2147483647,0,0
136,2147483647,2147483647,0,0
137,2147483647,2147483647,0,0
138,2147483647,2147483647,0,0
139,2147483647,2147483647,0,0
140,2147483647,2147483647,0,0
141,2147483647,2147483647,0,0
142,2147483647,2147483647,0,0
143,2147483647,2147483647,0,0
