time_ns,input,base,pipeline,l2,l3,diff_pipe,diff_l2,diff_l3
65000,4096,0,0,0,0,0,0,0
75000,4096,825,0,825,825,0,0,0
85000,4096,3380999,825,3380999,3380999,0,0,0
95000,4096,10751048,3380999,10751048,10751048,0,0,0
105000,4096,23630089,10751048,23630089,23630089,0,0,0
115000,4096,41493149,23630089,41493149,41493149,0,0,0
125000,4096,61009392,41493149,61009392,61009392,0,0,0
135000,4096,75620501,61009392,75620501,75620501,0,0,0
145000,4096,76225034,75620501,76225034,76225034,0,0,0
155000,4096,53189786,76225034,53189786,53189786,0,0,0
165000,4096,-713338,53189786,-713338,-713338,0,0,0
175000,4096,-87202791,-713338,-87202791,-87202791,0,0,0
185000,4096,-200349774,-87202791,-200349774,-200349774,0,0,0
195000,4096,-326496934,-200349774,-326496934,-326496934,0,0,0
205000,4096,-446708314,-326496934,-446708314,-446708314,0,0,0
215000,4096,-541439034,-446708314,-541439034,-541439034,0,0,0
225000,4096,-596191657,-541439034,-596191657,-596191657,0,0,0
235000,4096,-606311944,-596191657,-606311944,-606311944,0,0,0
245000,4096,-579076896,-606311944,-579076896,-579076896,0,0,0
255000,4096,-532022696,-579076896,-532022696,-532022696,0,0,0
265000,4096,-487627598,-532022696,-487627598,-487627598,0,0,0
275000,4096,-465935137,-487627598,-465935137,-465935137,0,0,0
285000,4096,-477612149,-465935137,-477612149,-477612149,0,0,0
295000,4096,-520038248,-477612149,-520038248,-520038248,0,0,0
305000,4096,-578134374,-520038248,-578134374,-578134374,0,0,0
315000,4096,-629925872,-578134374,-629925872,-629925872,0,0,0
325000,4096,-655017064,-629925872,-655017064,-655017064,0,0,0
335000,4096,-642852028,-655017064,-642852028,-642852028,0,0,0
345000,4096,-597480963,-642852028,-597480963,-597480963,0,0,0
355000,4096,-536678174,-597480963,-536678174,-536678174,0,0,0
365000,4096,-485428609,-536678174,-485428609,-485428609,0,0,0
375000,4096,-466044326,-485428609,-466044326,-466044326,0,0,0
385000,4096,-488752961,-466044326,-488752961,-488752961,0,0,0
395000,4096,-546694067,-488752961,-546694067,-546694067,0,0,0
405000,4096,-617677900,-546694067,-617677900,-617677900,0,0,0
415000,4096,-672505255,-617677900,-672505255,-672505255,0,0,0
425000,4096,-686808712,-672505255,-686808712,-686808712,0,0,0
435000,4096,-651704922,-686808712,-651704922,-651704922,0,0,0
445000,4096,-578670926,-651704922,-578670926,-578670926,0,0,0
455000,4096,-496159038,-578670926,-496159038,-496159038,0,0,0
465000,4096,-438753893,-496159038,-438753893,-438753893,0,0,0
475000,4096,-432890278,-438753893,-432890278,-432890278,0,0,0
485000,4096,-484960210,-432890278,-484960210,-484960210,0,0,0
495000,4096,-577047354,-484960210,-577047354,-577047354,0,0,0
505000,4096,-672696243,-577047354,-672696243,-672696243,0,0,0
515000,4096,-731085162,-672696243,-731085162,-731085162,0,0,0
525000,4096,-724162817,-731085162,-724162817,-724162817,0,0,0
535000,4096,-649708025,-724162817,-649708025,-649708025,0,0,0
545000,4096,-534337324,-649708025,-534337324,-534337324,0,0,0
555000,4096,-424430073,-534337324,-424430073,-424430073,0,0,0
565000,4096,-367798337,-424430073,-367798337,-367798337,0,0,0
575000,4096,-393249425,-367798337,-393249425,-393249425,0,0,0
585000,4096,-496613512,-393249425,-496613512,-496613512,0,0,0
595000,4096,-639772335,-496613512,-639772335,-639772335,0,0,0
605000,4096,-764202992,-639772335,-764202992,-764202992,0,0,0
615000,4096,-814444100,-764202992,-814444100,-814444100,0,0,0
625000,4096,-762272135,-814444100,-762272135,-762272135,0,0,0
635000,4096,-621258636,-762272135,-621258636,-621258636,0,0,0
645000,4096,-444631970,-621258636,-444631970,-444631970,0,0,0
655000,4096,-305859741,-444631970,-305859741,-305859741,0,0,0
665000,4096,-268785187,-305859741,-268785187,-268785187,0,0,0
675000,4096,-359130575,-268785187,-359130575,-359130575,0,0,0
685000,4096,-549777292,-359130575,-549777292,-549777292,0,0,0
695000,4096,-767389995,-549777292,-767389995,-767389995,0,0,0
705000,4096,-919575754,-767389995,-919575754,-919575754,0,0,0
715000,4096,-932947129,-919575754,-932947129,-932947129,0,0,0
725000,4096,-786876709,-932947129,-786876709,-786876709,0,0,0
